Date,btc,xrp,eth,ada
09/09/2020,10134.15137,0.236723,337.824921,0.091149
10/09/2020,10242.33008,0.239689,351.429321,0.093433
11/09/2020,10369.02832,0.24353,368.1185,0.097156
12/09/2020,10409.86133,0.243055,374.595398,0.097112
13/09/2020,10452.39941,0.247814,387.519287,0.097598
14/09/2020,10328.73438,0.241804,365.699585,0.094906
15/09/2020,10677.75488,0.246265,377.154022,0.096809
16/09/2020,10797.76172,0.24401,364.743988,0.093398
17/09/2020,10973.25195,0.247743,365.865784,0.091655
18/09/2020,10951.82031,0.252284,389.337494,0.094217
19/09/2020,10933.75293,0.25053,384.041656,0.090884
20/09/2020,11095.87012,0.251663,385.597992,0.091662
21/09/2020,10934.92578,0.246818,371.400146,0.089459
22/09/2020,10459.62402,0.231848,341.723816,0.080448
23/09/2020,10539.45703,0.233571,344.622498,0.081754
24/09/2020,10227.47949,0.22166,320.618317,0.076806
25/09/2020,10747.47266,0.233079,349.363129,0.0829
26/09/2020,10702.23731,0.241888,352.53125,0.096892
27/09/2020,10752.93945,0.242391,354.587219,0.095578
28/09/2020,10771.6416,0.243252,357.311157,0.101206
29/09/2020,10712.46289,0.241815,354.974823,0.100703
30/09/2020,10845.41113,0.243157,359.942352,0.101116
01/10/2020,10785.01074,0.242368,360.004639,0.101202
02/10/2020,10624.39063,0.238302,353.220184,0.097894
03/10/2020,10583.80664,0.234333,346.502655,0.092913
04/10/2020,10567.91992,0.233518,347.27243,0.093684
05/10/2020,10688.03418,0.248458,353.045807,0.096301
06/10/2020,10799.77832,0.250813,354.137787,0.097634
07/10/2020,10619.80371,0.24586,341.091675,0.092909
08/10/2020,10677.625,0.249154,342.094971,0.093944
09/10/2020,10868.38379,0.2511905,353.7487185,0.097705
10/10/2020,11059.14258,0.253227,365.402466,0.101466
11/10/2020,11296.08203,0.254201,370.928436,0.104902
12/10/2020,11362.56494,0.255464,376.449951,0.1071
13/10/2020,11395.8064,0.2560955,379.2107085,0.108199
14/10/2020,11429.04785,0.256727,381.971466,0.109298
15/10/2020,11426.60254,0.249406,379.19223,0.107217
16/10/2020,11502.82813,0.246058,377.8685,0.106748
17/10/2020,11322.12305,0.240541,366.015717,0.104218
18/10/2020,11355.98242,0.24085,368.727539,0.106044
19/10/2020,11495.03809,0.242308,378.469635,0.107416
20/10/2020,11745.97461,0.245927,379.719696,0.108614
21/10/2020,11913.07715,0.243485,369.059418,0.102519
22/10/2020,12801.63574,0.251335,391.488617,0.106056
23/10/2020,12971.54883,0.257326,414.051331,0.110698
24/10/2020,12931.57422,0.254879,409.767242,0.108083
25/10/2020,13108.06348,0.256431,412.457642,0.108075
26/10/2020,13031.20117,0.253213,406.217987,0.106351
27/10/2020,13075.24219,0.248688,393.888184,0.103097
28/10/2020,13654.21484,0.2529,403.997101,0.102827
29/10/2020,13271.29883,0.245865,388.651062,0.098977
30/10/2020,13437.87402,0.242292,386.730255,0.095376
31/10/2020,13546.53223,0.239188,382.820038,0.093369
01/11/2020,13780.99512,0.239739,386.590332,0.093056
02/11/2020,13737.03223,0.239804,396.355988,0.098197
03/11/2020,13550.45117,0.23542,383.156036,0.092143
04/11/2020,13950.48828,0.23951,387.60321,0.093435
05/11/2020,14133.7334,0.237799,402.142944,0.095369
06/11/2020,15579.72949,0.24577,414.066711,0.096994
07/11/2020,15565.88086,0.258445,454.722565,0.109105
08/11/2020,14833.75391,0.249582,435.718811,0.101379
09/11/2020,15479.5957,0.253939,453.574158,0.106621
10/11/2020,15332.35059,0.250753,444.166382,0.105326
11/11/2020,15290.90918,0.253911,449.679657,0.105805
12/11/2020,15701.29883,0.256258,462.959534,0.105965
13/11/2020,16276.44043,0.254903,461.005493,0.104525
14/11/2020,16317.80859,0.265191,474.626434,0.106391
15/11/2020,16068.13965,0.268342,460.149902,0.104202
16/11/2020,15955.57715,0.269641,447.55899,0.100531
17/11/2020,16685.69141,0.291796,464.406647,0.10548
18/11/2020,17645.19141,0.302397,480.346832,0.1096
19/11/2020,17803.86133,0.294222,479.481018,0.106402
20/11/2020,17817.08398,0.303766,471.63147,0.105866
21/11/2020,18621.31641,0.328068,509.744598,0.118226
22/11/2020,18642.23242,0.458344,549.486633,0.132945
23/11/2020,18370.01758,0.443701,558.059509,0.14476
24/11/2020,18365.01563,0.614193,608.522766,0.153571
25/11/2020,19104.41016,0.692154,603.902039,0.166346
26/11/2020,18729.83984,0.634892,570.514893,0.155107
27/11/2020,17153.91406,0.533383,519.108093,0.138292
28/11/2020,17112.93359,0.559675,517.597351,0.141074
29/11/2020,17719.63477,0.625742,538.264587,0.164923
30/11/2020,18178.32227,0.606289,575.75708,0.16663
01/12/2020,19633.76953,0.664515,615.070313,0.171367
02/12/2020,18801.74414,0.612992,587.261597,0.155956
03/12/2020,19205.92578,0.629995,598.459229,0.158592
04/12/2020,19446.9668,0.631469,616.722778,0.164209
05/12/2020,18698.38477,0.557088,569.347656,0.148164
06/12/2020,19154.17969,0.584414,596.568665,0.159659
07/12/2020,19343.12891,0.619714,601.797119,0.158876
08/12/2020,19191.5293,0.608858,591.900818,0.154127
09/12/2020,18320.88477,0.558667,554.792908,0.140942
10/12/2020,18553.29883,0.583657,573.504028,0.14817
11/12/2020,18263.92969,0.573062,559.679199,0.142022
12/12/2020,18051.32031,0.546316,545.578552,0.139423
13/12/2020,18806.76563,0.506678,568.609863,0.144503
14/12/2020,19144.49219,0.511608,589.782471,0.154016
15/12/2020,19246.91992,0.497688,586.02179,0.158065
16/12/2020,19418.81836,0.469677,589.378662,0.154312
17/12/2020,21308.35156,0.568488,636.154175,0.167571
18/12/2020,22806.79688,0.576739,642.916992,0.163449
19/12/2020,23132.86523,0.5842,654.624207,0.16498
20/12/2020,23861.76563,0.57899,659.185059,0.164728
21/12/2020,23474.45508,0.555961,638.315186,0.162004
22/12/2020,22794.03906,0.516792,609.420532,0.152634
23/12/2020,23781.97461,0.447966,634.824585,0.156226
24/12/2020,23240.20313,0.259113,584.13562,0.136457
25/12/2020,23733.57031,0.337331,611.554565,0.152886
26/12/2020,24677.01563,0.318074,626.498047,0.157556
27/12/2020,26439.37305,0.294758,635.887146,0.157835
28/12/2020,26280.82227,0.283366,683.205811,0.15444
29/12/2020,27081.81055,0.247673,730.358704,0.176709
30/12/2020,27360.08984,0.220902,731.472839,0.192022
31/12/2020,28841.57422,0.211787,751.626648,0.184034
01/01/2021,28994.00977,0.219845,737.708374,0.181382
02/01/2021,29376.45508,0.23767,730.402649,0.175359
03/01/2021,32129.4082,0.221744,774.511841,0.177382
04/01/2021,32810.94922,0.226038,977.058838,0.205236
05/01/2021,31977.04102,0.236636,1041.498779,0.224817
06/01/2021,34013.61328,0.226866,1101.005005,0.258549
07/01/2021,36833.875,0.250926,1208.078369,0.332272
08/01/2021,39381.76563,0.326089,1225.967896,0.300387
